Category: All categories,,
,,
Region,"Hamburger: (4/5/26, 4:04 PM - 4/6/26, 4:04 PM)",02/01/2024-02/28/25
North Dakota,100,
Wyoming,95,
Nebraska,92,
Kansas,84,
Arkansas,83,
Oklahoma,82,
Iowa,82,
Alabama,80,
West Virginia,79,
Mississippi,77,
Kentucky,73,
Missouri,72,
Montana,72,
Vermont,72,
South Carolina,70,
South Dakota,69,
Idaho,66,
Tennessee,66,
Minnesota,66,
Louisiana,65,
Indiana,65,
Hawaii,65,
Maine,63,
Wisconsin,63,
Ohio,58,
New Hampshire,58,
North Carolina,57,
Utah,57,
Michigan,54,
Colorado,53,
Oregon,53,
Arizona,51,
New Mexico,51,
Georgia,48,
Alaska,48,
Texas,47,
Washington,47,
Nevada,43,
Florida,41,
Illinois,41,
Virginia,41,
California,38,
Pennsylvania,36,
Massachusetts,33,
Delaware,33,
Connecticut,32,
New York,30,
Rhode Island,29,
Maryland,29,
New Jersey,25,
District of Columbia,22,
